id_alerta,longitud,latitud,fuente
1,-76.71254598811527,-11.948428540715662,ciudadano
2,-76.65492856935902,-11.91817947943681,ciudadano
3,-76.67680060581887,-11.934282200946184,ciudadano
4,-76.6901341515803,-11.924571465441765,camara
5,-76.73439813595576,-11.904621676303696,ciudadano
6,-76.73440054796637,-11.937535388542555,ciudadano
7,-76.74419163878318,-11.929480853848219,ciudadano
8,-76.66338238542251,-11.912222443072848,ciudadano
9,-76.68988849882568,-11.938560091725419,ciudadano
10,-76.6791927422204,-11.94615100450856,ciudadano
11,-76.74794155057042,-11.935512427354311,ciudadano
12,-76.6530090147838,-11.9419389356373,ciudadano
13,-76.66675573591996,-11.903515117382872,ciudadano
14,-76.72876608893218,-11.909593981021779,ciudadano
15,-76.73181750327929,-11.918329812174479,camara
16,-76.73165954901465,-11.906426970490614,ciudadano
17,-76.71957577570404,-11.909816396155044,ciudadano
18,-76.69752435683678,-11.940671497055698,camara
19,-76.7068054981358,-11.905372050075501,ciudadano
20,-76.72087708598019,-11.923032887904217,camara
21,-76.68881471052777,-11.909627992241797,ciudadano
22,-76.7360506139348,-11.905195435003826,ciudadano
23,-76.72078553514648,-11.934099826251407,ciudadano
24,-76.71336381567063,-11.944497403773616,ciudadano
25,-76.7043930015783,-11.938603241872903,ciudadano
26,-76.67148240386071,-11.928644610568687,ciudadano
27,-76.73003262178416,-11.909099261703876,camara
28,-76.69857655615864,-11.906963470837184,ciudadano
29,-76.6907585431138,-11.949652393473439,camara
30,-76.745354958728,-11.924462634871121,ciudadano
31,-76.68924551480985,-11.929129449842561,camara
32,-76.73294758763127,-11.938894609476463,ciudadano
33,-76.74349484070147,-11.944006731633316,ciudadano
34,-76.65511144627467,-11.933119241429818,ciudadano
35,-76.65343679669255,-11.902854514804375,ciudadano
36,-76.66916026518835,-11.933839853398961,camara
37,-76.71953862308267,-11.924060468912831,ciudadano
38,-76.74023278859936,-11.91484905205524,ciudadano
39,-76.68157669734879,-11.931818519881036,ciudadano
40,-76.70598475062604,-11.901410895863952,ciudadano
41,-76.73779617651552,-11.901877635252895,camara
42,-76.70048230898888,-11.937410885208731,camara
43,-76.74656114788849,-11.925137574705381,camara
44,-76.65906795979213,-11.934956084509162,ciudadano
45,-76.72412200184,-11.935757975281126,ciudadano
46,-76.68374777156461,-11.948155652632273,camara
47,-76.71882889239106,-11.919521783301006,ciudadano
48,-76.69799319788223,-11.924866048838556,camara
49,-76.69532897206568,-11.9474260624375,camara
50,-76.73151455444744,-11.936067676788168,camara
51,-76.65304153722354,-11.904586705701668,ciudadano
52,-76.67248671766389,-11.93802190546665,ciudadano
53,-76.65605010584359,-11.942755256395438,camara
54,-76.66051726495724,-11.925527361986122,ciudadano
55,-76.69021000211889,-11.90071747729447,ciudadano
56,-76.65781257649769,-11.937897236424424,ciudadano
57,-76.74115074979481,-11.916393222629706,camara
58,-76.73040171375808,-11.911919019233565,ciudadano
59,-76.74547727110895,-11.938118122800379,ciudadano
60,-76.71746696692368,-11.913589182569407,ciudadano
61,-76.71113227103105,-11.931610843364037,ciudadano
62,-76.72286509682262,-11.91838470847032,camara
63,-76.66712624908482,-11.918323514461955,ciudadano
64,-76.71432466733064,-11.923211265796262,ciudadano
65,-76.72190654903126,-11.94548551149728,camara
66,-76.69573039168418,-11.908234875220538,camara
67,-76.73590757750253,-11.933960996751413,ciudadano
68,-76.6697803019246,-11.940674074480008,camara
69,-76.74254493563203,-11.947961242922261,ciudadano
70,-76.65131130633995,-11.920455352840587,ciudadano
71,-76.67277552307034,-11.916121781907886,camara
72,-76.73012843184658,-11.949170608553606,camara
73,-76.74944778828764,-11.924395347085035,camara
74,-76.66845385715452,-11.938675211240103,camara
75,-76.67931426561525,-11.917741360479528,ciudadano
76,-76.6770992831959,-11.94128167854975,ciudadano
77,-76.67287296533141,-11.915453113094877,camara
78,-76.74259553482659,-11.930663232684973,ciudadano
79,-76.71415342714558,-11.903163500563164,camara
80,-76.73841309404749,-11.9431239527927,camara
81,-76.66368965741245,-11.932946682447486,camara
82,-76.68767018731725,-11.94432632393797,ciudadano
83,-76.71691019751474,-11.903765319086071,ciudadano
84,-76.7436441649714,-11.90613303233095,ciudadano
85,-76.71890176782844,-11.937102918614242,ciudadano
86,-76.71748166779733,-11.917000797698291,ciudadano
87,-76.6770393821662,-11.90913888998994,ciudadano
88,-76.68624425286448,-11.922239959420027,ciudadano
89,-76.66127872574238,-11.9235174710822,ciudadano
90,-76.70277850748381,-11.937907385454977,ciudadano
91,-76.73804057540617,-11.945344861609705,ciudadano
92,-76.67867552127771,-11.905139212102334,ciudadano
93,-76.67392149513832,-11.904979097141833,camara
94,-76.69387228024306,-11.918344927136337,ciudadano
95,-76.67290328200455,-11.933048510447565,ciudadano
96,-76.70062044036356,-11.932539521269367,ciudadano
97,-76.6977267170618,-11.913702216056489,camara
98,-76.70724589816415,-11.90514448700237,ciudadano
99,-76.7474580873256,-11.905645678786744,ciudadano
100,-76.73921085730068,-11.911006222707119,ciudadano
